Company,Sector,Industry,Ticker,Market Cap
Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",AAPL,2093130000000
Microsoft Corporation,Information Technology,Systems Software,MSFT,1846516000000
Nvidia Corporation,Information Technology,Semiconductors,NVDA,373224800000
Intel Corporation,Information Technology,Semiconductors,INTC,226451000000
Broadcom Inc.,Information Technology,Semiconductors,AVGO,184242300000
Texas Instruments,Information Technology,Semiconductors,TXN,170861100000
Qualcomm,Information Technology,Semiconductors,QCOM,148286900000
Advanced Micro Devices,Information Technology,Semiconductors,AMD,93763170000
"Micron Technology, Inc.",Information Technology,Semiconductors,MU,90520660000
Analog Devices,Information Technology,Semiconductors,ADI,58776260000
NXP Semiconductors,Information Technology,Semiconductors,NXPI,55105950000
Microchip Technology,Information Technology,Semiconductors,MCHP,40977740000
"Xilinx, Inc.",Information Technology,Semiconductors,XLNX,30191610000
"Skyworks Solutions, Inc.",Information Technology,Semiconductors,SWKS,27520930000
Maxim Integrated Products,Information Technology,Semiconductors,MXIM,26527750000
Adobe Inc.,Information Technology,Application Software,ADBE,233297500000
Intuit,Information Technology,Application Software,INTU,118690400000
Zoom Video Communications,Information Technology,Application Software,ZM,93167230000
Autodesk,Information Technology,Application Software,ADSK,61987330000
"Workday, Inc.",Information Technology,Application Software,WDAY,56452700000
Atlassian,Information Technology,Application Software,TEAM,55926320000
DocuSign,Information Technology,Application Software,DOCU,37695250000
Marvell Technology Group,Information Technology,Application Software,MRVL,37336270000
"Synopsys, Inc.",Information Technology,Application Software,SNPS,36874300000
Cadence Design Systems,Information Technology,Application Software,CDNS,34354600000
"Okta, Inc.",Information Technology,Application Software,OKTA,29802190000
Ansys,Information Technology,Application Software,ANSS,28782680000
Splunk,Information Technology,Application Software,SPLK,19348710000
Check Point Software Technologies Ltd.,Information Technology,Application Software,CHKP,15976470000
ASML Holding,Information Technology,Semiconductor Equipment,ASML,269465600000
"Applied Materials, Inc.",Information Technology,Semiconductor Equipment,AMAT,118066200000
Lam Research,Information Technology,Semiconductor Equipment,LRCX,87582540000
KLA Corporation,Information Technology,Semiconductor Equipment,KLAC,47538810000
PayPal,Information Technology,Data Processing & Outsourced Services,PYPL,294492600000
"Automatic Data Processing, Inc.",Information Technology,Data Processing & Outsourced Services,ADP,83095220000
"Fiserv, Inc.",Information Technology,Data Processing & Outsourced Services,FISV,76158400000
"Paychex, Inc.",Information Technology,Data Processing & Outsourced Services,PAYX,36306280000
Cisco Systems,Information Technology,Communications Equipment,CSCO,221543700000
Cognizant Technology Solutions Corporation,Information Technology,IT Consulting & Other Services,CTSH,37572820000
Verisign,Information Technology,Internet Services & Infrastructure,VRSN,24932680000
